,ocp_jl,ocp_wr,ocp_hd,class_mild,need,placement,ocp_jl_low_los,ocp_jl_total,ocp_wr_low_los,ocp_wr_total,ocp_hd_low_los,ocp_hd_total
25,,,,1,0,jail,156.0,190.0,107.0,161.0,140.0,140.0
26,,,,0,1,jail,155.0,193.0,107.0,156.0,142.0,143.0
27,,,,0,1,home detention,155.0,193.0,107.0,156.0,142.0,143.0
28,,,,1,1,jail,155.0,193.0,107.0,156.0,142.0,143.0
29,,,,1,1,home detention,155.0,193.0,107.0,156.0,142.0,143.0
30,,,,1,1,home detention,155.0,193.0,107.0,156.0,142.0,143.0
31,,,,1,0,jail,155.0,193.0,107.0,156.0,142.0,143.0
32,,,,1,0,home detention,155.0,193.0,107.0,156.0,142.0,143.0
33,,,,1,0,home detention,155.0,193.0,107.0,156.0,142.0,143.0
34,,,,0,1,home detention,157.0,197.0,105.0,150.0,146.0,147.0
35,,,,0,0,jail,157.0,197.0,105.0,150.0,146.0,147.0
36,,,,1,1,home detention,157.0,197.0,105.0,150.0,146.0,147.0
37,,,,1,1,home detention,157.0,197.0,105.0,150.0,146.0,147.0
38,,,,1,1,home detention,157.0,197.0,105.0,150.0,146.0,147.0
39,,,,1,1,home detention,157.0,197.0,105.0,150.0,146.0,147.0
40,,,,1,0,jail,157.0,197.0,105.0,150.0,146.0,147.0
41,,,,1,0,home detention,157.0,197.0,105.0,150.0,146.0,147.0
42,,,,1,0,home detention,157.0,197.0,105.0,150.0,146.0,147.0
43,,,,1,0,home detention,157.0,197.0,105.0,150.0,146.0,147.0
44,,,,0,1,work release,156.0,200.0,104.0,142.0,154.0,155.0
45,,,,0,1,work release,156.0,200.0,104.0,142.0,154.0,155.0
46,,,,1,1,work release,156.0,200.0,104.0,142.0,154.0,155.0
47,,,,1,1,work release,156.0,200.0,104.0,142.0,154.0,155.0
48,,,,1,1,work release,156.0,200.0,104.0,142.0,154.0,155.0
49,,,,1,1,work release,156.0,200.0,104.0,142.0,154.0,155.0
50,,,,1,0,work release,156.0,200.0,104.0,142.0,154.0,155.0
51,,,,1,0,work release,156.0,200.0,104.0,142.0,154.0,155.0
52,,,,1,0,work release,156.0,200.0,104.0,142.0,154.0,155.0
53,,,,1,0,work release,156.0,200.0,104.0,142.0,154.0,155.0
54,,,,0,1,work release,153.0,198.0,110.0,146.0,154.0,156.0
55,,,,0,0,work release,153.0,198.0,110.0,146.0,154.0,156.0
56,,,,0,0,work release,153.0,198.0,110.0,146.0,154.0,156.0
57,,,,1,0,work release,153.0,198.0,110.0,146.0,154.0,156.0
58,,,,1,0,work release,153.0,198.0,110.0,146.0,154.0,156.0
59,,,,1,0,work release,153.0,198.0,110.0,146.0,154.0,156.0
60,,,,0,0,jail,150.0,198.0,114.0,150.0,154.0,156.0
61,,,,1,1,home detention,150.0,198.0,114.0,150.0,154.0,156.0
62,,,,1,1,home detention,150.0,198.0,114.0,150.0,154.0,156.0
63,,,,1,1,home detention,150.0,198.0,114.0,150.0,154.0,156.0
64,,,,1,0,jail,150.0,198.0,114.0,150.0,154.0,156.0
65,,,,1,0,home detention,150.0,198.0,114.0,150.0,154.0,156.0
66,,,,0,1,home detention,147.0,200.0,109.0,149.0,156.0,160.0
67,,,,0,1,home detention,147.0,200.0,109.0,149.0,156.0,160.0
68,,,,1,1,jail,147.0,200.0,109.0,149.0,156.0,160.0
69,,,,1,1,home detention,147.0,200.0,109.0,149.0,156.0,160.0
70,,,,1,1,home detention,147.0,200.0,109.0,149.0,156.0,160.0
71,,,,1,1,home detention,147.0,200.0,109.0,149.0,156.0,160.0
72,,,,1,0,home detention,147.0,200.0,109.0,149.0,156.0,160.0
73,,,,0,1,work release,147.0,202.0,108.0,145.0,161.0,166.0
74,,,,0,1,work release,147.0,202.0,108.0,145.0,161.0,166.0
75,,,,0,1,work release,147.0,202.0,108.0,145.0,161.0,166.0
76,,,,0,1,work release,147.0,202.0,108.0,145.0,161.0,166.0
77,,,,0,0,work release,147.0,202.0,108.0,145.0,161.0,166.0
78,,,,1,1,work release,147.0,202.0,108.0,145.0,161.0,166.0
79,,,,1,1,work release,147.0,202.0,108.0,145.0,161.0,166.0
80,,,,1,1,work release,147.0,202.0,108.0,145.0,161.0,166.0
81,,,,1,1,work release,147.0,202.0,108.0,145.0,161.0,166.0
82,,,,1,1,work release,147.0,202.0,108.0,145.0,161.0,166.0
83,,,,1,0,work release,147.0,202.0,108.0,145.0,161.0,166.0
84,,,,1,0,work release,147.0,202.0,108.0,145.0,161.0,166.0
85,,,,1,0,work release,147.0,202.0,108.0,145.0,161.0,166.0
86,,,,0,1,jail,143.0,201.0,119.0,156.0,161.0,166.0
87,,,,0,1,home detention,143.0,201.0,119.0,156.0,161.0,166.0
88,,,,0,0,jail,143.0,201.0,119.0,156.0,161.0,166.0
89,,,,0,0,jail,143.0,201.0,119.0,156.0,161.0,166.0
90,,,,0,0,jail,143.0,201.0,119.0,156.0,161.0,166.0
91,,,,1,1,jail,143.0,201.0,119.0,156.0,161.0,166.0
92,,,,1,1,home detention,143.0,201.0,119.0,156.0,161.0,166.0
93,,,,1,1,home detention,143.0,201.0,119.0,156.0,161.0,166.0
94,,,,1,0,jail,143.0,201.0,119.0,156.0,161.0,166.0
95,,,,1,0,home detention,143.0,201.0,119.0,156.0,161.0,166.0
96,,,,1,0,home detention,143.0,201.0,119.0,156.0,161.0,166.0
97,,,,0,1,home detention,140.0,207.0,108.0,156.0,165.0,170.0
98,,,,0,0,jail,140.0,207.0,108.0,156.0,165.0,170.0
99,,,,0,0,jail,140.0,207.0,108.0,156.0,165.0,170.0
100,,,,0,0,jail,140.0,207.0,108.0,156.0,165.0,170.0
101,,,,1,1,jail,140.0,207.0,108.0,156.0,165.0,170.0
102,,,,1,1,home detention,140.0,207.0,108.0,156.0,165.0,170.0
103,,,,1,1,home detention,140.0,207.0,108.0,156.0,165.0,170.0
104,,,,1,0,jail,140.0,207.0,108.0,156.0,165.0,170.0
105,,,,1,0,jail,140.0,207.0,108.0,156.0,165.0,170.0
106,,,,1,0,home detention,140.0,207.0,108.0,156.0,165.0,170.0
107,,,,1,0,home detention,140.0,207.0,108.0,156.0,165.0,170.0
108,,,,1,0,home detention,140.0,207.0,108.0,156.0,165.0,170.0
109,,,,1,0,home detention,140.0,207.0,108.0,156.0,165.0,170.0
110,,,,0,1,work release,140.0,214.0,105.0,147.0,172.0,178.0
111,,,,0,1,work release,140.0,214.0,105.0,147.0,172.0,178.0
112,,,,0,0,work release,140.0,214.0,105.0,147.0,172.0,178.0
113,,,,0,0,work release,140.0,214.0,105.0,147.0,172.0,178.0
114,,,,1,1,work release,140.0,214.0,105.0,147.0,172.0,178.0
115,,,,1,1,work release,140.0,214.0,105.0,147.0,172.0,178.0
116,,,,1,1,work release,140.0,214.0,105.0,147.0,172.0,178.0
117,,,,1,0,work release,140.0,214.0,105.0,147.0,172.0,178.0
118,,,,1,0,work release,140.0,214.0,105.0,147.0,172.0,178.0
119,,,,1,0,work release,140.0,214.0,105.0,147.0,172.0,178.0
120,,,,1,0,work release,140.0,214.0,105.0,147.0,172.0,178.0
121,,,,1,0,work release,140.0,214.0,105.0,147.0,172.0,178.0
122,,,,1,0,work release,140.0,214.0,105.0,147.0,172.0,178.0
123,,,,1,0,work release,140.0,214.0,105.0,147.0,172.0,178.0
124,,,,0,1,jail,139.0,214.0,112.0,162.0,169.0,177.0
125,,,,0,0,jail,139.0,214.0,112.0,162.0,169.0,177.0
126,,,,1,1,home detention,139.0,214.0,112.0,162.0,169.0,177.0
127,,,,1,1,home detention,139.0,214.0,112.0,162.0,169.0,177.0
128,,,,1,1,home detention,139.0,214.0,112.0,162.0,169.0,177.0
129,,,,1,0,jail,139.0,214.0,112.0,162.0,169.0,177.0
130,,,,1,0,home detention,139.0,214.0,112.0,162.0,169.0,177.0
131,,,,1,0,home detention,139.0,214.0,112.0,162.0,169.0,177.0
132,,,,0,1,jail,138.0,217.0,107.0,162.0,173.0,182.0
133,,,,0,1,home detention,138.0,217.0,107.0,162.0,173.0,182.0
134,,,,0,0,jail,138.0,217.0,107.0,162.0,173.0,182.0
135,,,,0,0,jail,138.0,217.0,107.0,162.0,173.0,182.0
136,,,,0,0,home detention,138.0,217.0,107.0,162.0,173.0,182.0
137,,,,1,1,home detention,138.0,217.0,107.0,162.0,173.0,182.0
138,,,,1,0,jail,138.0,217.0,107.0,162.0,173.0,182.0
139,,,,1,0,jail,138.0,217.0,107.0,162.0,173.0,182.0
140,,,,1,0,home detention,138.0,217.0,107.0,162.0,173.0,182.0
141,,,,1,0,home detention,138.0,217.0,107.0,162.0,173.0,182.0
142,,,,0,1,home detention,129.0,221.0,97.0,162.0,174.0,188.0
143,,,,0,0,jail,129.0,221.0,97.0,162.0,174.0,188.0
144,,,,1,1,home detention,129.0,221.0,97.0,162.0,174.0,188.0
145,,,,1,1,home detention,129.0,221.0,97.0,162.0,174.0,188.0
146,,,,1,1,home detention,129.0,221.0,97.0,162.0,174.0,188.0
147,,,,1,0,jail,129.0,221.0,97.0,162.0,174.0,188.0
148,,,,1,0,jail,129.0,221.0,97.0,162.0,174.0,188.0
149,,,,1,0,jail,129.0,221.0,97.0,162.0,174.0,188.0
150,,,,1,1,jail,129.0,225.0,95.0,160.0,177.0,192.0
151,,,,1,1,home detention,129.0,225.0,95.0,160.0,177.0,192.0
152,,,,1,1,home detention,129.0,225.0,95.0,160.0,177.0,192.0
153,,,,1,1,home detention,129.0,225.0,95.0,160.0,177.0,192.0
154,,,,1,1,home detention,129.0,225.0,95.0,160.0,177.0,192.0
155,,,,1,1,home detention,129.0,225.0,95.0,160.0,177.0,192.0
156,,,,1,1,home detention,129.0,225.0,95.0,160.0,177.0,192.0
157,,,,1,0,jail,129.0,225.0,95.0,160.0,177.0,192.0
158,,,,1,0,home detention,129.0,225.0,95.0,160.0,177.0,192.0
159,,,,0,1,home detention,124.0,227.0,92.0,160.0,183.0,199.0
160,,,,0,0,jail,124.0,227.0,92.0,160.0,183.0,199.0
161,,,,0,0,jail,124.0,227.0,92.0,160.0,183.0,199.0
162,,,,0,0,home detention,124.0,227.0,92.0,160.0,183.0,199.0
163,,,,1,1,home detention,124.0,227.0,92.0,160.0,183.0,199.0
164,,,,1,1,home detention,124.0,227.0,92.0,160.0,183.0,199.0
165,,,,1,1,home detention,124.0,227.0,92.0,160.0,183.0,199.0
166,,,,1,0,jail,124.0,227.0,92.0,160.0,183.0,199.0
167,,,,1,0,home detention,124.0,227.0,92.0,160.0,183.0,199.0
168,,,,1,0,home detention,124.0,227.0,92.0,160.0,183.0,199.0
169,,,,0,1,home detention,119.0,231.0,89.0,154.0,186.0,205.0
170,,,,0,1,home detention,119.0,231.0,89.0,154.0,186.0,205.0
171,,,,0,1,home detention,119.0,231.0,89.0,154.0,186.0,205.0
172,,,,0,0,jail,119.0,231.0,89.0,154.0,186.0,205.0
173,,,,1,1,home detention,119.0,231.0,89.0,154.0,186.0,205.0
174,,,,1,1,home detention,119.0,231.0,89.0,154.0,186.0,205.0
175,,,,1,1,home detention,119.0,231.0,89.0,154.0,186.0,205.0
176,,,,1,1,home detention,119.0,231.0,89.0,154.0,186.0,205.0
177,,,,1,0,home detention,119.0,231.0,89.0,154.0,186.0,205.0
178,,,,0,0,jail,118.0,233.0,79.0,154.0,191.0,212.0
179,,,,0,0,jail,118.0,233.0,79.0,154.0,191.0,212.0
180,,,,1,1,home detention,118.0,233.0,79.0,154.0,191.0,212.0
181,,,,1,1,home detention,118.0,233.0,79.0,154.0,191.0,212.0
182,,,,1,1,home detention,118.0,233.0,79.0,154.0,191.0,212.0
183,,,,1,1,home detention,118.0,233.0,79.0,154.0,191.0,212.0
184,,,,1,1,home detention,118.0,233.0,79.0,154.0,191.0,212.0
185,,,,1,0,home detention,118.0,233.0,79.0,154.0,191.0,212.0
186,,,,1,0,home detention,118.0,233.0,79.0,154.0,191.0,212.0
187,,,,0,1,jail,115.0,234.0,72.0,153.0,196.0,221.0
188,,,,0,1,jail,115.0,234.0,72.0,153.0,196.0,221.0
189,,,,0,1,home detention,115.0,234.0,72.0,153.0,196.0,221.0
190,,,,0,0,jail,115.0,234.0,72.0,153.0,196.0,221.0
191,,,,1,1,home detention,115.0,234.0,72.0,153.0,196.0,221.0
192,,,,1,1,home detention,115.0,234.0,72.0,153.0,196.0,221.0
193,,,,1,1,home detention,115.0,234.0,72.0,153.0,196.0,221.0
194,,,,1,1,home detention,115.0,234.0,72.0,153.0,196.0,221.0
195,,,,1,0,jail,115.0,234.0,72.0,153.0,196.0,221.0
196,,,,0,0,jail,113.0,237.0,73.0,152.0,197.0,226.0
197,,,,0,0,jail,113.0,237.0,73.0,152.0,197.0,226.0
198,,,,0,0,jail,113.0,237.0,73.0,152.0,197.0,226.0
199,,,,0,0,jail,113.0,237.0,73.0,152.0,197.0,226.0
200,,,,1,1,jail,113.0,237.0,73.0,152.0,197.0,226.0
201,,,,1,1,home detention,113.0,237.0,73.0,152.0,197.0,226.0
202,,,,1,0,jail,113.0,237.0,73.0,152.0,197.0,226.0
203,,,,1,0,home detention,113.0,237.0,73.0,152.0,197.0,226.0
204,,,,0,0,jail,114.0,244.0,69.0,151.0,198.0,228.0
205,,,,0,0,jail,114.0,244.0,69.0,151.0,198.0,228.0
206,,,,0,0,jail,114.0,244.0,69.0,151.0,198.0,228.0
207,,,,1,1,home detention,114.0,244.0,69.0,151.0,198.0,228.0
208,,,,1,1,home detention,114.0,244.0,69.0,151.0,198.0,228.0
209,,,,1,1,home detention,114.0,244.0,69.0,151.0,198.0,228.0
210,,,,1,1,home detention,114.0,244.0,69.0,151.0,198.0,228.0
211,,,,1,0,jail,114.0,244.0,69.0,151.0,198.0,228.0
212,,,,1,0,home detention,114.0,244.0,69.0,151.0,198.0,228.0
213,,,,0,1,jail,115.0,249.0,63.0,152.0,200.0,231.0
214,,,,0,1,jail,115.0,249.0,63.0,152.0,200.0,231.0
215,,,,0,1,home detention,115.0,249.0,63.0,152.0,200.0,231.0
216,,,,1,1,home detention,115.0,249.0,63.0,152.0,200.0,231.0
217,,,,1,1,home detention,115.0,249.0,63.0,152.0,200.0,231.0
218,,,,1,1,home detention,115.0,249.0,63.0,152.0,200.0,231.0
219,,,,1,0,home detention,115.0,249.0,63.0,152.0,200.0,231.0
220,,,,1,0,home detention,115.0,249.0,63.0,152.0,200.0,231.0
221,,,,1,0,home detention,115.0,249.0,63.0,152.0,200.0,231.0
222,,,,0,1,work release,114.0,251.0,51.0,148.0,207.0,239.0
223,,,,0,1,work release,114.0,251.0,51.0,148.0,207.0,239.0
224,,,,0,0,work release,114.0,251.0,51.0,148.0,207.0,239.0
225,,,,1,1,work release,114.0,251.0,51.0,148.0,207.0,239.0
226,,,,1,1,work release,114.0,251.0,51.0,148.0,207.0,239.0
227,,,,1,0,work release,114.0,251.0,51.0,148.0,207.0,239.0
228,,,,1,0,work release,114.0,251.0,51.0,148.0,207.0,239.0
229,,,,1,0,work release,114.0,251.0,51.0,148.0,207.0,239.0
230,,,,1,0,work release,114.0,251.0,51.0,148.0,207.0,239.0
231,,,,1,0,work release,114.0,251.0,51.0,148.0,207.0,239.0
232,,,,0,1,jail,110.0,247.0,62.0,157.0,203.0,240.0
233,,,,0,1,jail,110.0,247.0,62.0,157.0,203.0,240.0
234,,,,0,1,home detention,110.0,247.0,62.0,157.0,203.0,240.0
235,,,,0,0,jail,110.0,247.0,62.0,157.0,203.0,240.0
236,,,,0,0,home detention,110.0,247.0,62.0,157.0,203.0,240.0
237,,,,1,1,home detention,110.0,247.0,62.0,157.0,203.0,240.0
238,,,,1,1,home detention,110.0,247.0,62.0,157.0,203.0,240.0
239,,,,1,0,home detention,110.0,247.0,62.0,157.0,203.0,240.0
240,,,,1,0,home detention,110.0,247.0,62.0,157.0,203.0,240.0
241,,,,0,1,jail,110.0,249.0,48.0,153.0,202.0,246.0
242,,,,1,1,home detention,110.0,249.0,48.0,153.0,202.0,246.0
243,,,,1,0,home detention,110.0,249.0,48.0,153.0,202.0,246.0
244,,,,1,0,home detention,110.0,249.0,48.0,153.0,202.0,246.0
245,,,,0,0,home detention,111.0,251.0,43.0,150.0,198.0,248.0
246,,,,1,1,jail,111.0,251.0,43.0,150.0,198.0,248.0
247,,,,1,1,home detention,111.0,251.0,43.0,150.0,198.0,248.0
248,,,,1,1,home detention,111.0,251.0,43.0,150.0,198.0,248.0
249,,,,1,1,home detention,111.0,251.0,43.0,150.0,198.0,248.0
250,,,,1,1,home detention,111.0,251.0,43.0,150.0,198.0,248.0
251,,,,1,0,jail,111.0,251.0,43.0,150.0,198.0,248.0
252,,,,1,0,jail,111.0,251.0,43.0,150.0,198.0,248.0
253,,,,1,0,home detention,111.0,251.0,43.0,150.0,198.0,248.0
254,,,,0,1,home detention,110.0,255.0,43.0,149.0,198.0,253.0
255,,,,0,1,home detention,110.0,255.0,43.0,149.0,198.0,253.0
256,,,,0,0,jail,110.0,255.0,43.0,149.0,198.0,253.0
257,,,,1,1,home detention,110.0,255.0,43.0,149.0,198.0,253.0
258,,,,1,1,home detention,110.0,255.0,43.0,149.0,198.0,253.0
259,,,,1,1,home detention,110.0,255.0,43.0,149.0,198.0,253.0
260,,,,1,1,home detention,110.0,255.0,43.0,149.0,198.0,253.0
261,,,,1,1,home detention,110.0,255.0,43.0,149.0,198.0,253.0
262,,,,1,0,jail,110.0,255.0,43.0,149.0,198.0,253.0
263,,,,1,0,jail,110.0,255.0,43.0,149.0,198.0,253.0
264,,,,1,0,jail,110.0,255.0,43.0,149.0,198.0,253.0
265,,,,1,0,home detention,110.0,255.0,43.0,149.0,198.0,253.0
266,,,,1,0,home detention,110.0,255.0,43.0,149.0,198.0,253.0
267,,,,1,0,home detention,110.0,255.0,43.0,149.0,198.0,253.0
268,,,,1,0,home detention,110.0,255.0,43.0,149.0,198.0,253.0
269,,,,1,0,home detention,110.0,255.0,43.0,149.0,198.0,253.0
270,,,,1,1,work release,110.0,257.0,43.0,145.0,206.0,267.0
271,,,,1,1,work release,110.0,257.0,43.0,145.0,206.0,267.0
272,,,,1,1,work release,110.0,257.0,43.0,145.0,206.0,267.0
273,,,,1,1,work release,110.0,257.0,43.0,145.0,206.0,267.0
274,,,,1,1,work release,110.0,257.0,43.0,145.0,206.0,267.0
275,,,,1,0,work release,110.0,257.0,43.0,145.0,206.0,267.0
276,,,,1,0,work release,110.0,257.0,43.0,145.0,206.0,267.0
277,,,,1,0,work release,110.0,257.0,43.0,145.0,206.0,267.0
278,,,,1,0,work release,110.0,257.0,43.0,145.0,206.0,267.0
279,,,,1,0,work release,110.0,257.0,43.0,145.0,206.0,267.0
280,,,,0,1,work release,102.0,258.0,40.0,143.0,201.0,265.0
281,,,,0,1,work release,102.0,258.0,40.0,143.0,201.0,265.0
282,,,,0,1,work release,102.0,258.0,40.0,143.0,201.0,265.0
283,,,,1,1,work release,102.0,258.0,40.0,143.0,201.0,265.0
284,,,,1,1,work release,102.0,258.0,40.0,143.0,201.0,265.0
285,,,,1,1,work release,102.0,258.0,40.0,143.0,201.0,265.0
286,,,,1,1,work release,102.0,258.0,40.0,143.0,201.0,265.0
287,,,,1,1,work release,102.0,258.0,40.0,143.0,201.0,265.0
288,,,,1,0,work release,102.0,258.0,40.0,143.0,201.0,265.0
289,,,,1,0,work release,102.0,258.0,40.0,143.0,201.0,265.0
290,,,,1,0,work release,102.0,258.0,40.0,143.0,201.0,265.0
291,,,,0,1,home detention,99.0,257.0,48.0,154.0,195.0,267.0
292,,,,0,1,home detention,99.0,257.0,48.0,154.0,195.0,267.0
293,,,,0,0,jail,99.0,257.0,48.0,154.0,195.0,267.0
294,,,,0,0,jail,99.0,257.0,48.0,154.0,195.0,267.0
295,,,,1,1,home detention,99.0,257.0,48.0,154.0,195.0,267.0
296,,,,1,1,home detention,99.0,257.0,48.0,154.0,195.0,267.0
297,,,,1,0,jail,99.0,257.0,48.0,154.0,195.0,267.0
298,,,,1,0,home detention,99.0,257.0,48.0,154.0,195.0,267.0
299,,,,1,0,home detention,99.0,257.0,48.0,154.0,195.0,267.0
300,,,,0,1,home detention,100.0,259.0,49.0,150.0,196.0,272.0
301,,,,0,1,home detention,100.0,259.0,49.0,150.0,196.0,272.0
302,,,,0,1,home detention,100.0,259.0,49.0,150.0,196.0,272.0
303,,,,0,0,jail,100.0,259.0,49.0,150.0,196.0,272.0
304,,,,1,1,home detention,100.0,259.0,49.0,150.0,196.0,272.0
305,,,,1,1,home detention,100.0,259.0,49.0,150.0,196.0,272.0
306,,,,1,1,home detention,100.0,259.0,49.0,150.0,196.0,272.0
307,,,,1,1,home detention,100.0,259.0,49.0,150.0,196.0,272.0
308,,,,1,0,jail,100.0,259.0,49.0,150.0,196.0,272.0
309,,,,1,0,jail,100.0,259.0,49.0,150.0,196.0,272.0
310,,,,1,0,home detention,100.0,259.0,49.0,150.0,196.0,272.0
311,,,,1,0,home detention,100.0,259.0,49.0,150.0,196.0,272.0
312,,,,1,1,work release,103.0,260.0,49.0,148.0,204.0,282.0
313,,,,1,1,work release,103.0,260.0,49.0,148.0,204.0,282.0
314,,,,1,1,work release,103.0,260.0,49.0,148.0,204.0,282.0
315,,,,1,0,work release,103.0,260.0,49.0,148.0,204.0,282.0
316,,,,1,0,work release,103.0,260.0,49.0,148.0,204.0,282.0
317,,,,1,0,work release,103.0,260.0,49.0,148.0,204.0,282.0
318,,,,0,1,jail,99.0,258.0,47.0,154.0,201.0,282.0
319,,,,0,1,jail,99.0,258.0,47.0,154.0,201.0,282.0
320,,,,0,1,jail,99.0,258.0,47.0,154.0,201.0,282.0
321,,,,0,1,home detention,99.0,258.0,47.0,154.0,201.0,282.0
322,,,,0,1,home detention,99.0,258.0,47.0,154.0,201.0,282.0
323,,,,0,1,home detention,99.0,258.0,47.0,154.0,201.0,282.0
324,,,,0,0,jail,99.0,258.0,47.0,154.0,201.0,282.0
325,,,,1,1,jail,99.0,258.0,47.0,154.0,201.0,282.0
326,,,,1,1,home detention,99.0,258.0,47.0,154.0,201.0,282.0
327,,,,1,1,home detention,99.0,258.0,47.0,154.0,201.0,282.0
328,,,,1,0,home detention,99.0,258.0,47.0,154.0,201.0,282.0
329,,,,0,1,work release,101.0,263.0,47.0,144.0,201.0,288.0
330,,,,0,1,work release,101.0,263.0,47.0,144.0,201.0,288.0
331,,,,0,1,work release,101.0,263.0,47.0,144.0,201.0,288.0
332,,,,0,0,work release,101.0,263.0,47.0,144.0,201.0,288.0
333,,,,0,0,work release,101.0,263.0,47.0,144.0,201.0,288.0
334,,,,1,1,work release,101.0,263.0,47.0,144.0,201.0,288.0
335,,,,1,1,work release,101.0,263.0,47.0,144.0,201.0,288.0
336,,,,1,1,work release,101.0,263.0,47.0,144.0,201.0,288.0
337,,,,1,1,work release,101.0,263.0,47.0,144.0,201.0,288.0
338,,,,1,0,work release,101.0,263.0,47.0,144.0,201.0,288.0
339,,,,0,1,work release,102.0,262.0,57.0,148.0,196.0,287.0
340,,,,0,0,work release,102.0,262.0,57.0,148.0,196.0,287.0
341,,,,1,1,work release,102.0,262.0,57.0,148.0,196.0,287.0
342,,,,1,1,work release,102.0,262.0,57.0,148.0,196.0,287.0
343,,,,1,0,work release,102.0,262.0,57.0,148.0,196.0,287.0
344,,,,1,0,work release,102.0,262.0,57.0,148.0,196.0,287.0
345,,,,1,0,work release,102.0,262.0,57.0,148.0,196.0,287.0
346,,,,0,1,home detention,101.0,261.0,53.0,155.0,190.0,287.0
347,,,,0,1,home detention,101.0,261.0,53.0,155.0,190.0,287.0
348,,,,0,0,jail,101.0,261.0,53.0,155.0,190.0,287.0
349,,,,0,0,jail,101.0,261.0,53.0,155.0,190.0,287.0
350,,,,0,0,jail,101.0,261.0,53.0,155.0,190.0,287.0
351,,,,0,0,jail,101.0,261.0,53.0,155.0,190.0,287.0
352,,,,1,1,home detention,101.0,261.0,53.0,155.0,190.0,287.0
353,,,,1,1,home detention,101.0,261.0,53.0,155.0,190.0,287.0
354,,,,1,0,jail,101.0,261.0,53.0,155.0,190.0,287.0
355,,,,1,0,home detention,101.0,261.0,53.0,155.0,190.0,287.0
356,,,,0,1,jail,102.0,264.0,53.0,150.0,194.0,293.0
357,,,,0,0,jail,102.0,264.0,53.0,150.0,194.0,293.0
358,,,,0,0,jail,102.0,264.0,53.0,150.0,194.0,293.0
359,,,,1,1,home detention,102.0,264.0,53.0,150.0,194.0,293.0
360,,,,1,0,home detention,102.0,264.0,53.0,150.0,194.0,293.0
361,,,,1,1,work release,102.0,264.0,54.0,144.0,193.0,295.0
362,,,,1,1,work release,102.0,264.0,54.0,144.0,193.0,295.0
363,,,,1,1,work release,102.0,264.0,54.0,144.0,193.0,295.0
364,,,,1,1,work release,102.0,264.0,54.0,144.0,193.0,295.0
365,,,,1,0,work release,102.0,264.0,54.0,144.0,193.0,295.0
366,,,,1,0,work release,102.0,264.0,54.0,144.0,193.0,295.0
367,,,,1,0,work release,102.0,264.0,54.0,144.0,193.0,295.0
368,,,,1,0,work release,102.0,264.0,54.0,144.0,193.0,295.0
369,,,,1,0,work release,102.0,264.0,54.0,144.0,193.0,295.0
370,,,,1,0,work release,102.0,264.0,54.0,144.0,193.0,295.0
371,,,,0,1,jail,103.0,263.0,64.0,152.0,192.0,294.0
372,,,,0,1,jail,103.0,263.0,64.0,152.0,192.0,294.0
373,,,,0,1,jail,103.0,263.0,64.0,152.0,192.0,294.0
374,,,,0,1,jail,103.0,263.0,64.0,152.0,192.0,294.0
375,,,,0,1,home detention,103.0,263.0,64.0,152.0,192.0,294.0
376,,,,1,1,jail,103.0,263.0,64.0,152.0,192.0,294.0
377,,,,1,1,home detention,103.0,263.0,64.0,152.0,192.0,294.0
378,,,,1,0,jail,103.0,263.0,64.0,152.0,192.0,294.0
